Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2022,Skamania,WA,Truck,0,0,0,4000,4000,0
February 28 2022,Skamania,WA,Passenger,59,45,104,8313,8417,1.24
February 28 2022,Snohomish,WA,Truck,3,0,3,125244,125247,0
February 28 2022,Snohomish,WA,Passenger,7465,2315,9780,536333,546113,1.79
February 28 2022,Spokane,WA,Truck,0,0,0,102700,102700,0
February 28 2022,Spokane,WA,Passenger,1392,782,2174,326551,328725,0.66
February 28 2022,Stevens,WA,Passenger,58,47,105,30124,30229,0.35
February 28 2022,Stevens,WA,Truck,0,0,0,18980,18980,0
February 28 2022,Thurston,WA,Passenger,1973,992,2965,196398,199363,1.49
February 28 2022,Thurston,WA,Truck,3,0,3,55932,55935,0.01
February 28 2022,Wahkiakum,WA,Passenger,17,11,28,3097,3125,0.9
February 28 2022,Wahkiakum,WA,Truck,0,0,0,1817,1817,0
February 28 2022,Walla Walla,WA,Passenger,152,91,243,36263,36506,0.67
February 28 2022,Walla Walla,WA,Truck,0,0,0,14089,14089,0
February 28 2022,Whatcom,WA,Passenger,1691,687,2378,149472,151850,1.57
February 28 2022,Whatcom,WA,Truck,4,0,4,43640,43644,0.01
February 28 2022,Whitman,WA,Passenger,70,56,126,22062,22188,0.57
February 28 2022,Whitman,WA,Truck,0,0,0,8589,8589,0
February 28 2022,Yakima,WA,Passenger,301,179,480,168121,168601,0.28
February 28 2022,Yakima,WA,Truck,0,0,0,61687,61687,0
February 28 2022,Douglas,WI,Passenger,1,0,1,1,2,50
February 28 2022,,,Passenger,1,1,2,222,224,0.89
March 31 2022,Anchorage,AK,Passenger,1,0,1,120,121,0.83
March 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,76,77,1.3
March 31 2022,Juneau,AK,Passenger,0,1,1,29,30,3.33
March 31 2022,Montgomery,AL,Passenger,0,1,1,33,34,2.94
March 31 2022,Sevier,AR,Passenger,0,1,1,0,1,100
March 31 2022,Maricopa,AZ,Passenger,6,3,9,798,807,1.12
March 31 2022,Pima,AZ,Passenger,1,1,2,226,228,0.88
March 31 2022,Alameda,CA,Passenger,3,0,3,184,187,1.6
March 31 2022,Contra Costa,CA,Passenger,0,3,3,280,283,1.06
March 31 2022,Fresno,CA,Passenger,1,0,1,140,141,0.71
March 31 2022,Kern,CA,Passenger,0,1,1,173,174,0.57
March 31 2022,Kings,CA,Passenger,1,0,1,303,304,0.33
March 31 2022,Los Angeles,CA,Passenger,4,6,10,719,729,1.37
March 31 2022,Marin,CA,Passenger,0,1,1,32,33,3.03
March 31 2022,Monterey,CA,Passenger,1,1,2,129,131,1.53
March 31 2022,Orange,CA,Passenger,4,2,6,346,352,1.7
March 31 2022,Placer,CA,Passenger,1,0,1,59,60,1.67
March 31 2022,Riverside,CA,Passenger,7,1,8,429,437,1.83
March 31 2022,Sacramento,CA,Passenger,1,0,1,196,197,0.51
March 31 2022,San Bernardino,CA,Passenger,1,1,2,323,325,0.62
March 31 2022,San Diego,CA,Passenger,15,8,23,2258,2281,1.01
March 31 2022,San Joaquin,CA,Passenger,0,1,1,80,81,1.23
March 31 2022,San Luis Obispo,CA,Passenger,1,0,1,50,51,1.96
March 31 2022,San Mateo,CA,Passenger,2,0,2,70,72,2.78
March 31 2022,Santa Clara,CA,Passenger,5,1,6,205,211,2.84
March 31 2022,Santa Cruz,CA,Passenger,1,0,1,23,24,4.17
